Title,ID,TV/Movie,Year,Age-Restriction,Number of Seasons,Duaration of movies,Audio,Subtitle,Genre,Download,Mood
Money Heist,80192098,TV,2017,18,4,,,,"['Spanish TV Shows', 'TV Thrillers']",Available to download,"['Suspenseful', 'Exciting']"
Lucifer,80057918,TV,2016,16,4,,,,"['Crime TV Dramas', 'Fantasy TV Shows', 'TV Shows Based on Comics', 'TV Dramas', 'US TV Shows']",Available to download,"['Irreverent', 'Exciting']"
Dark,80100172,TV,2017,18,3,,,,"['Crime TV Dramas', 'Sci-Fi TV', 'German TV Shows', 'TV Mysteries', 'TV Thrillers', 'TV Dramas']",Available to download,"['Mind-Bending', 'Chilling', 'Ominous', 'Cerebral', 'Scary', 'Suspenseful']"
The Umbrella Academy,80186863,TV,2019,16,2,,,,"['Sci-Fi TV', 'TV Shows Based on Comics', 'US TV Shows', 'TV Action & Adventure']",Available to download,"['Mind-Bending', 'Offbeat', 'Quirky']"
Dark Desire,81090319,TV,2020,18,1,,,,"['Mexican TV Shows', 'Latin American TV Shows', 'TV Mysteries', 'TV Thrillers']",Available to download,"['Intimate', 'Suspenseful']"
Sex Education,80197526,TV,2019,18,2,,,,"['Teen TV Shows', 'British TV Shows', 'TV Dramas', 'TV Comedies']",Available to download,"['Raunchy', 'Heartfelt', 'Irreverent']"
Stranger Things,80057281,TV,2016,16,3,,,,"['Sci-Fi TV', 'Teen TV Shows', 'TV Thrillers', 'Horror TV Serials', 'US TV Shows']",Available to download,"['Ominous', 'Scary', 'Exciting']"
Sacred Games,80115328,TV,2018,18,2,,,,"['Crime TV Dramas', 'Hindi-Language TV Shows', 'TV Shows Based on Books', 'Indian TV Shows', 'TV Mysteries', 'TV Thrillers', 'TV Dramas']",Available to download,"['Gritty', 'Dark']"
It's Okay to Not Be Okay,81243992,TV,2020,13,1,,,,"['Romantic TV Dramas', 'Romantic TV Comedies', 'Korean TV Shows', 'TV Dramas', 'TV Comedies']",Available to download,"['Quirky', 'Heartfelt', 'Emotional', 'Romantic']"
Delhi Crime,81076756,TV,2019,16,1,,,,"['Crime TV Dramas', 'Hindi-Language TV Shows', 'Social Issue TV Dramas', 'Indian TV Shows', 'TV Thrillers', 'TV Dramas']",Available to download,"['Gritty', 'Dark']"
Jamtara - Sabka Number Ayega,81183491,TV,2020,18,1,,,,"['Crime TV Dramas', 'Hindi-Language TV Shows', 'Indian TV Shows', 'TV Thrillers', 'TV Dramas']",Available to download,"['Ominous', 'Gritty', 'Dark']"
Peaky Blinders,80002479,TV,2013,18,5,,,,"['Crime TV Dramas', 'Period Pieces', 'British TV Shows', 'TV Dramas']",Available to download,"['Violent', 'Forceful']"
Cursed,80199393,TV,2020,18,1,,,,"['Fantasy TV Shows', 'TV Shows Based on Books', 'Teen TV Shows', 'TV Dramas', 'US TV Shows', 'TV Action & Adventure']",Available to download,"['Violent', 'Gritty']"
Never Have I Ever,80179190,TV,2020,13,1,,,,"['Teen TV Shows', 'TV Dramas', 'TV Comedies', 'US TV Shows']",Available to download,"['Quirky', 'Heartfelt']"
Little Things,81011159,TV,2016,16,3,,,,"['Romantic TV Dramas', 'Romantic TV Comedies', 'Hindi-Language TV Shows', 'Indian TV Shows', 'TV Dramas', 'TV Comedies']",Available to download,"['Intimate', 'Romantic']"
