Title,Link,ID,Status
Money Heist,https://www.netflix.com/in/title/80192098,80192098,TV Shows
Lucifer,https://www.netflix.com/in/title/80057918,80057918,TV Shows
Dark,https://www.netflix.com/in/title/80100172,80100172,TV Shows
The Umbrella Academy,https://www.netflix.com/in/title/80186863,80186863,TV Shows
Dark Desire,https://www.netflix.com/in/title/81090319,81090319,TV Shows
Sex Education,https://www.netflix.com/in/title/80197526,80197526,TV Shows
Stranger Things,https://www.netflix.com/in/title/80057281,80057281,TV Shows//TV Sci-Fi & Fantasy
Sacred Games,https://www.netflix.com/in/title/80115328,80115328,TV Shows//New Releases
It's Okay to Not Be Okay,https://www.netflix.com/in/title/81243992,81243992,TV Shows//New Releases
Delhi Crime,https://www.netflix.com/in/title/81076756,81076756,TV Shows//New Releases
Jamtara - Sabka Number Ayega,https://www.netflix.com/in/title/81183491,81183491,TV Shows//New Releases//Popular on Netflix
Peaky Blinders,https://www.netflix.com/in/title/80002479,80002479,TV Shows//New Releases//Popular on Netflix
Cursed,https://www.netflix.com/in/title/80199393,80199393,TV Shows//TV Sci-Fi & Fantasy
Never Have I Ever,https://www.netflix.com/in/title/80179190,80179190,TV Shows//New Releases//US TV Shows
Little Things,https://www.netflix.com/in/title/81011159,81011159,TV Shows//New Releases//Popular on Netflix
Indian Matchmaking,https://www.netflix.com/in/title/80244565,80244565,TV Shows//New Releases//US TV Shows
Narcos,https://www.netflix.com/in/title/80025172,80025172,TV Shows//US TV Shows
13 Reasons Why,https://www.netflix.com/in/title/80117470,80117470,TV Shows//New Releases//US TV Shows
She,https://www.netflix.com/in/title/81183494,81183494,TV Shows//New Releases//Popular on Netflix
The Witcher,https://www.netflix.com/in/title/80189685,80189685,TV Shows//TV Sci-Fi & Fantasy
Lost in Space,https://www.netflix.com/in/title/80104198,80104198,TV Shows//TV Sci-Fi & Fantasy//Popular on Netflix
Crash Landing on You,https://www.netflix.com/in/title/81159258,81159258,TV Shows//New Releases//Popular on Netflix//TV Dramas
Locke & Key,https://www.netflix.com/in/title/80241239,80241239,TV Shows//TV Sci-Fi & Fantasy//Popular on Netflix
You,https://www.netflix.com/in/title/80211991,80211991,TV Shows//New Releases//US TV Shows//Popular on Netflix
The Protector,https://www.netflix.com/in/title/80189829,80189829,TV Shows//TV Sci-Fi & Fantasy//Popular on Netflix
Elite,https://www.netflix.com/in/title/80200942,80200942,TV Shows//New Releases//Popular on Netflix//Crime TV Shows
How to Sell Drugs Online (Fast),https://www.netflix.com/in/title/80218448,80218448,TV Shows//New Releases//Popular on Netflix//Crime TV Shows
Bard of Blood,https://www.netflix.com/in/title/80225885,80225885,TV Shows//New Releases//Popular on Netflix//TV Dramas
The King: Eternal Monarch,https://www.netflix.com/in/title/81260283,81260283,TV Shows//TV Sci-Fi & Fantasy//New Releases//Popular on Netflix//Crime TV Shows
The Rain,https://www.netflix.com/in/title/80154610,80154610,TV Shows//TV Sci-Fi & Fantasy//New Releases//Popular on Netflix//TV Dramas
Fauda,https://www.netflix.com/in/title/80113612,80113612,TV Shows//New Releases//Popular on Netflix//Crime TV Shows
Betaal,https://www.netflix.com/in/title/81061789,81061789,TV Shows//New Releases//Popular on Netflix//TV Thrillers
Meteor Garden,https://www.netflix.com/in/title/81005504,81005504,TV Shows//Popular on Netflix//TV Dramas
Marvel's Daredevil,https://www.netflix.com/in/title/80018294,80018294,TV Shows//US TV Shows//Popular on Netflix
Ozark,https://www.netflix.com/in/title/80117552,80117552,TV Shows//New Releases//US TV Shows//Popular on Netflix//Crime TV Shows
Marvel's Iron Fist,https://www.netflix.com/in/title/80002612,80002612,TV Shows//US TV Shows//Popular on Netflix//Crime TV Shows
Titans,https://www.netflix.com/in/title/80218200,80218200,TV Shows//TV Sci-Fi & Fantasy//New Releases//US TV Shows//Popular on Netflix//Crime TV Shows//TV Action & Adventure
Shadowhunters: The Mortal Instruments,https://www.netflix.com/in/title/80084447,80084447,TV Shows//TV Sci-Fi & Fantasy//New Releases//US TV Shows//Popular on Netflix//Horror TV Serials
Too Hot to Handle,https://www.netflix.com/in/title/80241027,80241027,TV Shows//New Releases//US TV Shows//Popular on Netflix
Chilling Adventures of Sabrina,https://www.netflix.com/in/title/80223989,80223989,TV Shows//TV Sci-Fi & Fantasy//New Releases//US TV Shows//Popular on Netflix//Horror TV Serials
House of Cards,https://www.netflix.com/in/title/70178217,70178217,TV Shows//US TV Shows//Popular on Netflix//TV Dramas
Black Mirror,https://www.netflix.com/in/title/70264888,70264888,TV Shows//TV Sci-Fi & Fantasy//New Releases//Popular on Netflix//TV Dramas
Teenage Bounty Hunters,https://www.netflix.com/in/title/80244296,80244296,TV Shows//New Releases//US TV Shows//Popular on Netflix//Crime TV Shows//TV Dramas//TV Comedies
Orange Is the New Black,https://www.netflix.com/in/title/70242311,70242311,TV Shows//New Releases//US TV Shows//Popular on Netflix//TV Dramas//TV Comedies
Designated Survivor,https://www.netflix.com/in/title/80113647,80113647,TV Shows//New Releases//US TV Shows//Popular on Netflix//Crime TV Shows//TV Dramas//TV Thrillers
Itaewon Class,https://www.netflix.com/in/title/81193309,81193309,TV Shows//New Releases//Popular on Netflix//TV Dramas
Warrior Nun,https://www.netflix.com/in/title/80242724,80242724,TV Shows//TV Sci-Fi & Fantasy//New Releases//US TV Shows//Popular on Netflix//TV Action & Adventure
The Last Kingdom,https://www.netflix.com/in/title/80074249,80074249,TV Shows//New Releases//Popular on Netflix//TV Dramas//TV Action & Adventure
